微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
P1WL4o65J,#羽绒骗局曝光#这昧心钱有点太好赚了！我一般买羽绒服会看合格证、羽绒种类、含绒量、充绒量之类的，但没想到这些“通版”的配套质检手续，在辅料店就能买到……包括合格证、水洗标、羽绒充气标、吊牌等等这造假的成本也太低了，希望有关部门彻一定要严查严惩！我看网上说，除了看含绒量充绒量这些，还可以：摸一摸，看是否有完整的羽毛，有羽毛梗；拍一拍，看是否跑毛，阵脚处是否有粉尘出来；闻一闻，如果有明显臭味/异味，就不要买了；掂一掂，相对轻一点的、体积大一点的更好些。我觉得把，反正就是综合来看吧，这几点都看看，以后买羽绒服可不敢只看吊牌了 ,,无,无,无,2024-11-25 16:55,iPhone 13,0,0,0
P1WtvDxR7,#樊振东#【#雷军晒樊振东亲笔签名球拍#】11月25日，@雷军 发视频称，自己收到王腾送的一个很珍贵的礼物，就是@樊振东 的亲笔签名乒乓球拍。雷军说自己很喜欢这个球拍，很珍贵要好好收藏起来，同时也表达了对樊振东的感谢。  ,,无,无,无,2024-11-25 16:12,iPhone 13,0,0,0
P1WtowZ0T,#国际消除家暴日#今天是国际消除对妇女暴力日，推荐吕乐导演、#赵薇#执行导演、赵薇监制、高临阳编剧、郝蕾主演的《听见她说》第一季第七集《她和她的房间》，本集便是以女性遭遇家庭暴力为主题。  ,,无,无,无,2024-11-25 16:12,iPhone 13,11,0,0
P1WtbxZQr,#卫生巾造假风波##卫生巾造假风波# 还在持续发酵，但胖东来却收获了一波销量，起码尺寸绝对够数！【#胖东来卫生巾区遭哄抢#】#多家卫生巾塌房后胖东来卫生巾区爆火# 11月24日报道，此前多家卫生巾品牌“塌房”，胖东来卫生巾区域爆火。“货架被抢空，多为整箱购买”，网友：胖东来不仅是超市更是鉴定机构 ,,无,无,无,2024-11-25 16:11,iPhone 13,0,0,0
P1Wt3iMip,#胖东来禁员工彩礼#支持“胖东来”：一位企业家的“真诚”与“自由”最近，许昌的胖东来企业再次成为话题中心，不仅仅因为它那响亮的品牌名，更因为其创始人于东来在公开场合表达了自己独特的企业管理哲学。这个名字近年来似乎跟“真诚”二字紧密相连，但最近他的言论却引起了部分人对企业与员工个人自由之间平衡的思考。 ,,无,无,无,2024-11-25 16:11,iPhone 13,0,0,0
P1WsBmdpt,#羽绒骗局曝光##央视曝光劣质羽绒制品以丝充绒##你买的羽绒被可能是劣质飞丝被#！劣质羽绒制品，以次充好的集大成者，价格低于市场价很吸引人，买到手发现保暖性能一坨大便，大家买过鹅绒被的很少会拆开检查是否是实打实的鹅绒，以往用鸡绒、鸭绒冒充鹅绒已经是很恶心的行为了，以丝充绒更恶心。大家可能不知道这个丝是啥，丝就是鸡毛鸭毛的边角料完全粉碎后的产物，特别特别脏！容易滋生细菌，稍有不慎就是又臭又恶心，还会损害健康，鹅绒被这玩意儿大家盖着睡觉，一睡就是几个小时，轻则过敏重则呼吸道感染，买个被子还给自己整生病了要是知道真相很难不骂黑心商家。 ,,无,无,无,2024-11-25 16:10,iPhone 13,0,0,0
P1Wsmi2DU,#王楚钦夺冠#【#王楚钦说努力奔跑永远是追光少年#】#王楚钦发文说胜利属于每个人# 2024年WTT福冈总决赛，@王楚钦___ 4-0战胜张本智和夺得男单冠军。25日，王楚钦社媒发文：只要努力奔跑，永远是追光少年！胜利属于每个人，球队，你们。未完待续，I'm back。  ,,无,无,无,2024-11-25 16:09,iPhone 13,0,0,0
P1WsggO5R,#丁禹兮##丁禹兮预售秒切10000册#丁禹兮杂志预售秒切10000册，大家手速都好快，到底是谁抢到了  ,,无,无,无,2024-11-25 16:09,iPhone 13,0,0,0
P1WrU79z7,#货拉拉保时捷纠纷#保时捷针对货拉拉司机600元运费纠纷一事作出回应，乍看之下，迅速致歉且摆出处理姿态，可一经细究，诸多弊病便浮出水面。保时捷的回应剖析其宣称涉事人员隶属合作方，在相关部门介入后，纠纷已然达成和解，同步表达因纠纷产生及不当处置的歉意，誓言强化合作方人员管控与现场责任落实工作。回应潜藏的问题深究其一，有甩锅之嫌。虽说着重点明涉事者来自合作方，可合作方与保时捷本就“一荣俱荣、一损俱损”，品牌形象休戚与共。面对这般纠纷，保时捷怎能以一句“合作方员工”就撇清自身管理职责？这般推诿，公众怎会买账。其二，漠视司机困境。司机深陷账号受限，作业受阻，身体抱恙、经济窘迫的艰难处境，保时捷的回应却对其个体遭遇轻描淡写，关怀缺位，道歉仿若只是走个过场，诚意大打折扣。其三，和解存疑。合作方坚称600元是司机额外索取，肢体接触是安抚所需，司机却矢口否认。两方各执一词下仓促“和解”，矛盾真能冰消瓦解、问题真能迎刃而解？实在令人心存疑虑。 ,,无,无,无,2024-11-25 16:08,iPhone 13,0,0,0
P1WrGjjJs,#羊毛月言论争议#【媒体评：#羊毛月没资格嘲笑每个努力生活的人#】#普通人绝不是被网红拿来消遣的段子# 近日，800万粉丝网红博主“羊毛月”因发布一则吐槽年轻人找工作难的视频，引发轩然大波。  ,,无,无,无,2024-11-25 16:08,iPhone 13,0,0,0
P1W9Y9PSz,#羽绒骗局曝光##你的孩子可能正在穿这些劣质羽绒服# 【“飞丝”冒充羽绒，涉事童装店被罚1.5万】#央视曝光羽绒骗局# 寒冬已至，羽绒服、羽绒被等羽绒制品成为市场上的“香饽饽”，但一部分“假羽绒制品”却在线上、线下市场肆意泛滥。据媒体报道，江西九江某商户工作人员之前接受媒体采访时称，他们售卖的童装都是不达标的羽绒服装。一家当地的童装店也向记者透露，他们店里最近两个月就卖出了6万多件填充了“飞丝”的伪劣童装羽绒服。 ,,无,无,无,2024-11-25 15:24,iPhone 13,0,0,0
P1W9D7IZj,#寒潮频繁出现是冷冬要来了吗#【#寒潮频繁出现是冷冬要来了吗#】#小雪节气为啥总遇上寒潮#本周进入小雪节气。在我国一年之中，寒潮在11月份出现最频繁。1951至2020年一共出现了68次寒潮，其中，小雪节气是全年寒潮第二多的节气。寒潮主要根据降温幅度来判断，季节转换期的11月或次年3月，冷空气到来，温度起伏变动大，相对容易满足寒潮标准。而在我们以为寒潮最多的严冬时节，由于基础温度相对较低，降温幅度反而有限。作为冬天的“常客”，大家对寒潮形成了一些误解。比如寒潮频繁来袭就意味着冷冬的到来。其实，冷冬的基本要素为冬季三个月（12月至次年2月）平均气温偏低于特定值，而且出现冷冬的地方超过全国有效面积的50%，则定义为全国性冷冬。因此，冷冬更多是总结性而非预测性。 ,,无,无,无,2024-11-25 15:23,iPhone 13,1,0,1
P1W8AietX,#QQ音乐被指抄袭#网友点评: 如果你俩合并，一定充个会员。  好吧，两个我都在用，如果真的合并，也是好事。大家觉得有可能吗？ #  ,,无,无,无,2024-11-25 15:21,iPhone 13,1,0,0
P1W779R0J,#王楚钦夺冠#在WTT福冈总决赛中，王楚钦夺冠时的表现就是一个很好的例子。虽然一开始被庆祝场面吓了一跳，但他很快恢复了镇定，并展示了专业的态度。这一变化受到了广大网友的好评，许多人认为他在表情管理和心理素质上都有了显著提高。  ,,无,无,无,2024-11-25 15:17,iPhone 13,0,0,0
P1W71EwLE,#货拉拉保时捷纠纷#保时捷不付货拉拉司机费用还打人？保时捷致歉：涉事人员是项目合作方的人员，当天已和货拉拉司机达成和解11月23日，上海，货拉拉司机发视频自述：“平台上谈好的600元送货价格，按她们要求把货物送到上海赛车场指定地点卸货，本来谈好的价格她们又不认了，还在平台投诉我，导致我货拉拉的账号被封禁。”“我都快死了，你们还敢欺负我？”真勇啊，社会上的恶性事件就这么来的 ,,无,无,无,2024-11-25 15:17,iPhone 13,0,0,0
P1W6eplVO,#羊毛月言论争议#【#羊毛月2天掉粉70万#】#羊毛月60秒视频广告报价35万#近日，800万粉丝网红#羊毛月#发视频疑似内涵现在的00后应届生找不着工作，还要跟网红抢饭吃，并称自己可以帮忙想办法。评论区不少网友表示不满，随后该博主删除了视频。11月23日，该博主发布道歉视频表示，发视频的初衷是刷到了大学生就业的视频和收到相关粉丝求助私信，对于严肃的话题采用了不恰当的方式，针对这些言论和大家说一声抱歉。数据平台显示，其11月23日的粉丝数为877.1万左右。而目前，该博主的粉丝数已经减少到807.8万左右，2天掉粉近70万 ,,无,无,无,2024-11-25 15:15,iPhone 13,0,0,0
P1VV7CQms,#寒潮来袭#今天，中央气象台三预警齐发，分别发布了寒潮黄色预警、暴雪黄色预警和大风蓝色预警。据介绍，本轮寒潮持续时间长，累计降温幅度大，将给东北带来显著降雪过程。东北的这轮降雪，除了累计降雪量大外，多以湿雪为主，在降雪的负荷之下，可能会引起树木以及大棚等设施出现垮塌，要提前应对。  ,,无,无,无,2024-11-25 14:47,iPhone 13,0,0,0
P1VUZmxjI,#国际消除家暴日##家暴前妻16次男子将以故意伤害罪被起诉#【#2年被家暴16次女子幸存后的580天#】澎湃新闻持续跟拍自述2年被家暴16次的玉梅@miss谢931010 ，记录她幸存后的580个日夜。怀孕查出来一个礼拜，玉梅就经历了第一次家暴，被前夫贺某阳殴打致先兆性流产。怀孕6个月，经历第二次家暴，派出所开了告诫书。 ,,无,无,无,2024-11-25 14:47,iPhone 13,0,0,0
P1VURyPvV,#QQ音乐被指抄袭#【#网易云音乐致QQ音乐#：请QQ音乐立即停止剽窃式“创新”、借鉴式“创意”、跟随式“更新”】网易云音乐公开喊话QQ音乐，要求QQ音乐停止剽窃式“创新”。  ,,无,无,无,2024-11-25 14:47,iPhone 13,0,0,0
P1VUuBrBu,#羽绒骗局曝光#【#部分劣质羽绒服填充物竟是飞丝#】#央视曝光羽绒制品造假产业链# 商家透露，不只是羽绒被存在以次充好的现象，部分羽绒服里的填充物也未能幸免。在江西省九江市红星羽绒电商创业园，这里的儿童羽绒服装款式多样，都附有吊牌、水洗标和羽绒充气标，合格证上明确标明品名为“儿童轻薄羽绒服”“羽绒服”“鹅绒裤”等，执行标准和安全技术类别、产品等级说明应有尽有，填充物也写明是“90%白鸭绒”“白鹅绒（含绒量90%）”“白鸭绒（含绒量90%）”等，甚至还附带检验检测报告。商家透露，诸多标榜为羽绒服的产品，其绒子含量为0，填充物全是“飞丝”。一家宣称“厂家直销、现货供应”的河北羽兴羽绒公司称，他们生产的“飞丝”种类多，价格相差大。在一家流行羽羽绒公司，工作人员直言，在生产劣质羽绒制品时，他们主要依据成本来调配填充物。不管成本被压缩到何等低的程度，他们都能够提供与之匹配的“飞丝”。 ,,无,无,无,2024-11-25 14:46,iPhone 13,0,0,0
P1VUpjyI2,#王楚钦夺冠##王楚钦找回内心充斥自信的自己#【时隔6个月再获冠军，走出低谷的王楚钦更想学会“再出发”】#张本智和说最后一个球都不知道往哪发# 赢下比赛的王楚钦摘下发带，在手上转了几圈后扔给现场观众。这一略带张扬的庆祝方式，才是人们熟悉的王楚钦。在经历长达6个月的冠军荒，奥运止步男单32强，3个月输掉5场外战的低迷期，王楚钦终于在2024年的年末找回“内心充斥自信”的自己。 ,,无,无,无,2024-11-25 14:46,iPhone 13,0,0,0
P1VTZAXsF,#羊毛月言论争议##羊毛月言论争议##羊毛月一夜掉粉近22万# 羊毛月一夜掉粉22万近日，网红羊毛月发布一条嘲讽985高学历应届生的视频，他觉得这些应届生找不到工作在网上哭诉是假的演的，还声称别和自己抢工作，别玩网络。而羊毛月他的成名就是吃着时代的红利，本科中传，读研去了北大。最后开始走网络路线爆红，他的粉丝也基本上都是大学学生，现在却反过来嘲笑粉丝找不到好工作。 ,,无,无,无,2024-11-25 14:45,iPhone 13,0,0,0
P1VTz4QQb,#羊毛月言论争议#1月25日，因“嘲讽00后整顿职场”，毕业于北京大学的网红“羊毛月”持续掉粉，仅两天粉丝量已降了70万左右  ,,无,无,无,2024-11-25 14:44,iPhone 13,0,0,0
P1VTq9CDx,#货拉拉保时捷纠纷##保时捷就货拉拉司机维权道歉# 上海保时捷门店员工拒付货拉拉司机600元搬运费用，还引发肢体冲突导致司机货拉拉账号被封禁，司机无奈拍摄视频揭露事件。针对这一事件，保时捷于11月23日发表回应，表示双方因搬运费用产生纠纷，尽管后续员工支付了费用，但在处理过程中与情绪激动的司机发生了肢体冲突。警方介入后，双方已达成和解，保时捷并向司机表达了歉意。此事件源于沟通不畅导致的误会。网友们对此事反响强烈，纷纷表示货拉拉平台在处理此事时不应直接封禁司机的账号。他们呼吁货拉拉平台能够重新考虑，解封司机的账号。尽管网友们理解货拉拉在处理此类事件时可能面临的困境和保持沉默的原因，但他们仍然希望平台能够出于公平和人道主义考虑，恢复司机的账号。 ,,无,无,无,2024-11-25 14:43,iPhone 13,0,0,0
P1VsBhMjI,#雷军#【#雷军晒樊振东亲笔签名球拍#】11月25日，@雷军 发视频称，自己收到王腾送的一个很珍贵的礼物，就是@樊振东 的亲笔签名乒乓球拍。雷军说自己很喜欢这个球拍，很珍贵要好好收藏起来，同时也表达了对樊振东的感谢。  ,,无,无,无,2024-11-25 13:37,iPhone 13,0,0,1
P1VsucifS,#羽绒骗局曝光#【#央视曝光劣质羽绒制品以丝充绒##你买的羽绒被可能是劣质飞丝被#！】寒冬已至，羽绒服、羽绒被等羽绒制品成为市场上的香饽饽，但一部分“假羽绒制品”却在线上、线下市场肆意泛滥。部分直播间里，出现了一些号称价格亲民且品质优良的羽绒被。#总台财经调查#记者到江苏省南通市暗访这些电商公司，从工作人员口中得知，发到消费者家中的羽绒被填充物并不是羽绒，而是“丝”，质检报告、羽绒充气标都是假的。直播博主透露，他们采用“丝”来填充到被子里以替代“绒”，如此一来，成品从外观上几乎难以辨别差异，手感也极为相近，是控制成本的核心手段。 ,,无,无,无,2024-11-25 13:37,iPhone 13,0,0,0
P1VsigrwR,#被家暴16次案再开庭##家暴前妻16次男子将以故意伤害罪被起诉#【#2年被家暴16次女子幸存后的580天#】澎湃新闻持续跟拍自述2年被家暴16次的玉梅@miss谢931010 ，记录她幸存后的580个日夜。怀孕查出来一个礼拜，玉梅就经历了第一次家暴，被前夫贺某阳殴打致先兆性流产。怀孕6个月，经历第二次家暴，派出所开了告诫书。 ,,无,无,无,2024-11-25 13:36,iPhone 13,0,0,0
P1VsaokFA,#好东西#《好东西》的含金量还在上升，电影中的男性都没有全名，就连赵又廷也只有一个“前夫”的名字，就这个女本位电影爽！邵导回应说“自己不是很会取名字”“很多时候，在影视剧里，女人总是没有名字或者是冠一个夫性，包括历史长河中没有名字的女性也是多数”  ,,无,无,无,2024-11-25 13:36,iPhone 13,0,0,1
P1Vs38XI7,#王楚钦夺冠#【#王楚钦呼吁不要过度解读自己的小动作#】11月24日，WTT福冈总决赛男单决赛，中国选手@王楚钦___  4比0战胜日本选手张本智和，夺得男单冠军！赛后采访中提到大家对其小动作的解读，王楚钦表示：戏太多了，自己没有想那么多。不要老给自己弄一些电影一样的故事情节，自己都不是那么想的。希望过好每一天每一年，让自己开开心心享受乒乓。 ,,无,无,无,2024-11-25 13:36,iPhone 13,0,0,0
P1UUauK6o,#这个运动搭子我觉得不错# 💫运动时尚新风尚，李宁老爹鞋在追求运动风尚的今天，一双舒适又时尚的鞋子是不可或缺的。而李宁老爹鞋，就是我的运动搭子，它不仅让我在运动时感到舒适自在，更让我在时尚潮流中独树一帜。🌟外观与设计首先，从外观上来说，李宁老爹鞋的设计既经典又独特。鞋身线条流畅，给人一种轻盈感，鞋面的网布设计既透气又舒适，非常适合户外运动时穿着。颜色上，它也有多种选择，无论你是喜欢简约黑白，还是想要一点活力四溢的色彩，都可以在李宁老爹鞋中找到。👟舒适度与功能性其次，说到舒适度与功能性，这双鞋绝对值得一谈。它的鞋底采用优质材料，具有良好的缓冲性和抓地力，无论是跑步、跳绳还是打篮球，都能为你提供稳定的支撑和保护。鞋垫的柔软度适中，能有效地缓解长时间运动带来的疲劳感。💕与我的运动生活在我看来，李宁老爹鞋不仅仅是一双鞋子，更是我运动生活的一部分。无论是去健身房锻炼，还是户外跑步、散步，我都会选择这双鞋作为我的搭档。它陪我度过了许多美好的运动时光，也见证了我对运动的热爱和坚持。🌈搭配建议在搭配上，李宁老爹鞋也是相当百搭的。无论是搭配运动裤、牛仔裤还是短裤，都能轻松穿出时尚感。你可以尝试用这双鞋搭配你的运动装束，或者用它来点亮你的日常穿搭。总的来说，李宁老爹鞋不仅外观时尚、设计独特，而且舒适度与功能性都相当出色。它是我在运动路上的好搭档，也是我时尚穿搭的好选择。如果你还在寻找一双适合自己运动的鞋子，不妨试试李宁老爹鞋吧！相信我，它会给你带来不一样的体验和惊喜哦！😊✨ [组图共3张] 原图 ,,"https://ww2.sinaimg.cn/large/adf0a8c9gy1hvycxzrpprj20wi13fx0l.jpg,https://ww1.sinaimg.cn/large/adf0a8c9gy1hvycy6q56xj20wi1187jw.jpg,https://ww2.sinaimg.cn/large/adf0a8c9gy1hvycypwu7fj20wi1154cv.jpg",无,无,2024-11-25 12:12,iPhone 13,0,0,0
P1UPiF46q,#金价波动##金价又反弹#【金价又涨了 #黄金饰品重回8字头#】11月22日晚，国际金价出现显著上涨，现货黄金价格一举冲破2700美元/盎司大关，并在收盘时上涨1.74%，最终报2715.805美元/盎司。11月18日至22日，国际黄金价格连续五天上涨，累计涨幅接近6%，这是自去年10月以来最大的单周涨幅。受国际金价上涨的直接影响，国内黄金消费市场反应迅速。记者走访北京地区多个片区的品牌黄金线下门店看到，随着国际金价反弹，线下首饰金价格也水涨船高，重回“8”字头 ,,无,无,无,2024-11-25 12:00,iPhone 13,0,0,0
P1UP8BagD,#羽绒骗局曝光#央视曝光的羽绒服骗局，看完让人头皮发麻。原来我们很多人看到的很便宜的羽绒服，用的并不是羽绒，而是“飞丝”。飞丝，通过图片和视频看，如果不是专业的人士，其实观感和手感并不是相差太多。飞丝简单来说是指在羽绒加工过程中，从羽毛上脱落下来的单根短丝。所以通俗来说就是羽绒的残次品。外观手感几乎没差，还只在一格塞点羽绒掩人耳目。那些标明绒子含量的检测报告、充气标，都是低价批量购入，成本低到令人咋舌，一块两块就能搞定全套，就这么堂而皇之地蒙骗消费者。 ,,无,无,无,2024-11-25 12:00,iPhone 13,0,0,0
P1UORACIu,#羊毛月道歉#刚刷到羊毛月道歉，板着脸特别“正经”立马吸引住我了，之前每次刷到他都在那嬉皮笑脸的结果一看原来是他嘲讽00后找不到工作被大家骂了才出来道歉。也不知道是哪来的优越感在那高高在上又傲慢的态度来批判别人，自己倒是吃上了网络红利，怎么好意思嘲笑饿肚子的人，还不让别人抢他饭碗，看来这碗饭吃得很香啊！ ,,无,无,无,2024-11-25 11:59,iPhone 13,1,0,0
P1UODqMeR,#货拉拉 保时捷#大品牌，尤其跨国品牌公司，一直以来，有一种莫名的优越感。这种优越感，会最真实地体现在员工自觉高人一等的言行上。这个事件，非常真实呈现了一个极具代表性的场景：一边是“底层”拉单跑活儿的货拉拉司机，一边是高大上的顶级轿车洋品牌及其光鲜亮丽的员工。在经济下行、国产轿车市场风生水起、竞争激烈的大背景下，跨国公司过去那种依靠品牌红利坐收渔利的时代已经天翻地覆。可想而知的财务及预算紧缩，员工薪酬待遇可能也难以有往日辉煌。一件小事爆发，背后可能是复杂的方方面面困境折射。适应时代，放低姿态，平等视人，此方为放之四海而皆准之王道。 ,,无,无,无,2024-11-25 11:59,iPhone 13,0,0,0
P1UOmrke6,#王楚钦夺冠#为了调整状态，国家队特意调整了他的训练计划，还邀请心理专家进行辅导.而王楚钦自身也非常努力，知情人透露他曾在凌晨两点仍在训练馆苦练发球。 在此次总决赛中，王楚钦状态极佳，比赛中他发球得分率高达75%，关键分把握率高达80% ，最终以4-0的比分横扫张本智和，创下WTT总决赛最快单局记录等多项佳绩，用实力证明了自己，成功找回自信！ ,,无,无,无,2024-11-25 11:58,iPhone 13,0,0,0
P1UxTDv02,#羽绒骗局曝光#寒冬已至，羽绒服、羽绒被等羽绒制品成为市场上的香饽饽，但一部分“假羽绒制品”却在线上、线下市场肆意泛滥。部分直播间里，出现了一些号称价格亲民且品质优良的羽绒被。#羽绒被虚假检测报告成本仅一两元##有商家年内卖了20万套伪羽绒辅料#记者来到江西省九江市红星羽绒电商创业园，这里聚集了百余家羽绒服装配套企业。一些商户工作人员告诉记者，他们售卖的童装都是不达标的羽绒服装，成本低廉，合格证、质检报告都是假的。在同一市场里的辅料店就能买到“通版”的配套质检手续，包括合格证、水洗标、羽绒充气标、吊牌等等。 ,,无,无,无,2024-11-25 11:17,iPhone 13,0,0,0
P1UxM12an,#寒潮来袭#冬天降温时本身就心脑血管高发，有时候老年人可能就会因为这些疾病而在冬天离开人世，因此，如果家里有这类慢性病患者的老人，一定要注意观察病情变化，身边备好急救药品，并且准备好应急呼救措施。 还有一点，一定要注意防范呼吸道感染，因为感染会导致很多疾病，比如哮喘、慢性阻塞性肺疾病、心脏病加重，而小孩和老人既是感染的高危患者，又是重要的传染源，这方面作为中间的中青年一定要让两帮人做好防护。 ,,无,无,无,2024-11-25 11:17,iPhone 13,0,0,1
P1UxB2Og7,#张杰演唱会##张杰未live开往1982巡回演唱会# 11.24成都站《幸福的本能》4K直拍数十年未改 回忆不会被取代想爱是单纯 幸福的本能  ,,无,无,无,2024-11-25 11:17,iPhone 13,0,0,1
P1UxtlHT2,#陈奕迅演唱会##陈奕迅演唱会偶遇赵露思#谁懂啊，在陈奕迅演唱会台下蹦着迪，现场氛围这么好的情况下，还能偶遇赵露思露思又和好朋友曾黎、霸小欣相聚了  ,,无,无,无,2024-11-25 11:16,iPhone 13,0,0,0
P1Uxl6uX5,#卫生巾造假风波#由于最近的卫生巾造假风波，引起了大家的热议，最近，医生提醒大家不要盲目跟风抢购医用卫生巾。现在新的卫生巾国家标准正在制定中，医生们建议大家不必过分担心，普通的卫生巾已经足够好用了，没有必要去抢购医用级别的。这次抢购潮是因为前几天网上有个话题“所有卫生巾抽查都不合格”上了热搜，这让大家心里都没底了，然后就有专家出来建议买医用卫生巾。现在真是啥都不敢用了，吃的东西不放心，用的东西也不靠谱，尤其是这种贴身用的卫生巾竟然也有问题，网友们纷纷表示：以前怀疑过老公，怀疑过自己身体有问题，怀疑过皮肤过敏，怀疑过天气太热，就是没想到卫生巾会出问题。 ,,无,无,无,2024-11-25 11:16,iPhone 13,0,0,0
