微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
P1UlpdW81,#货拉拉 保时捷#【 #保时捷合作方称为安抚司机发生推搡# 】11月23日，一段“上海一货拉拉司机向保时捷工作人员维权”的视频，在社交平台引发关注，该司机称保时捷工作人员拖欠600元运费，还向平台投诉导致自己被封号，视频中还疑似出现了推搡的画面。11月23日晚，@保时捷 发布声明称该司对引发这一纠纷及其中出现的不当处理表示歉意，并发布了一篇落款为前卫咨询上海有限公司的情况说明。#保时捷公开道歉# ,,无,无,无,2024-11-25 10:47,无,2,1,0
P1TFIeWA9,【#叶嘉莹数年前已将全部财产捐赠南开#】古典文学研究学者、南开大学讲席教授叶嘉莹，于2024年11月24日去世，享年100岁。#叶嘉莹逝世# 叶嘉莹，1924年出生于北京，1945年毕业于北京辅仁大学国文系，20世纪五六十年代在中国台湾多所大学任教，1969年迁居加拿大温哥华，任不列颠哥伦比亚大学终身教授，1979年回国教书，最终定居南开大学。叶嘉莹1991年被授予“加拿大皇家学会院士”称号，是加拿大皇家学会有史以来唯一的中国古典文学院士。2002年、2015年分别被香港岭南大学、加拿大阿尔伯塔大学授予荣誉博士学位。她是南开大学中华诗教与古典文化研究所所长，中央文史研究馆资深馆员，获评“感动中国2020年度人物”。 ,,无,无,无,2024-11-25 09:04,iPhone客户端,4,1,0
P1Tz44yVI,#叶嘉莹逝世# 🙏 #中国最后一位女先生走了# 寒意侵人的周末傍晚，传来一个令人伤心的消息。11月24日晚上六点多，诗词教育大家叶嘉莹逝世的消息在网上传播。天津作家徐凤文在微博上写道：“在天津将欲雪的黄昏，叶嘉莹先生走了，她的故事、咏叹最终定格在了100岁这一年。 ”  ,,无,无,无,2024-11-25 08:48,iPhone客户端,4,1,0
P1TwcyqLo,【#南开大学发布叶嘉莹讣告#】南开大学发布讣告：南开大学讲席教授、中华诗教与古典文化研究所所长、中央文史研究馆资深馆员、加拿大皇家学会院士，国际著名教育家、诗人、中国古典文学研究泰斗叶嘉莹先生，因病医治无效，于 2024年 11月24日15时23分在天津逝世，享年 100岁。 #席慕蓉说叶嘉莹就是诗魂##叶嘉莹逝世# ,,无,无,无,2024-11-25 08:41,iPhone客户端,2,1,0
P1SW0rCaX,#叶嘉莹晚年卖掉房产捐赠3568万#【古典文学研究专家叶嘉莹去世，她走过了一个世纪】#叶嘉莹一生只为一件事而来##叶嘉莹逝世#11月24日，古典文学研究专家、教育家、诗人叶嘉莹去世，享年100岁。叶嘉莹，号迦陵，1924年7月出生于北京的一个书香世家。1941年，她考入北京辅仁大学国文系，大学二年级时遇到中国韵文、散文作家，理论批评家顾随，并得到赏识，跟随顾随受读“唐宋诗”课程。 ,,无,无,无,2024-11-25 07:11,iPhone客户端,2,1,0
P1PmlgrHx,#席慕蓉说叶嘉莹就是诗魂# 【#叶嘉莹是穿裙子的士#】古典文学研究专家、教育家、诗人叶嘉莹，于2024年11月24日下午逝世，享年100岁。  ,,无,无,无,2024-11-24 22:05,无,5,0,2
P1Pm6Autu,【#叶嘉莹数年前已将全部财产捐赠南开#】古典文学研究学者、南开大学讲席教授叶嘉莹，于2024年11月24日去世，享年100岁。#叶嘉莹逝世#  ,,无,无,无,2024-11-24 22:05,无,6,1,1
P1PlXbxJQ,#叶嘉莹逝世#【#叶嘉莹生平#】叶嘉莹先生1924年生，北京人。1945年毕业于北京辅仁大学国文系。自1954年开始，在台湾大学任教。1969年迁居加拿大温哥华，任不列颠哥伦比亚大学终身教授，1991年被授予“加拿大皇家学会院士”，曾被哈佛大学、耶鲁大学、哥伦比亚大学等高校聘为客座教授。  ,,无,无,无,2024-11-24 22:04,无,2,0,0
P1PlNAguI,🙏【#叶嘉莹逝世#，享年100岁】澎湃新闻记者从相关方面获悉，古典文学研究专家、教育家、诗人叶嘉莹，于2024年11月24日下午逝世，享年100岁。  ,,无,无,无,2024-11-24 22:04,无,4,0,1
P1MwR9UUU,#中国赛凤凰组合夺冠#冯彦哲/黄东萍2比1逆转马来西亚许邦荣/钟舒韵，拿下赛季第六冠。  决胜盘两位男选手都有点赔钱，不过许邦荣的这个反应还是蛮快的。侧脸很像王楚钦，颜值身材好很不少。  #中国赛凤凰组合夺冠#  ,,无,无,无,2024-11-24 14:53,无,2,1,0
P1MpsvkhL,网页链接（九派新闻）#殴打小学生派出所人员被撤职#  ,,无,无,无,2024-11-24 14:35,无,8,1,6
P1Mpnv2H6,网页链接（九派新闻）#警方通报派出所人员殴打小学生#  ,,无,无,无,2024-11-24 14:34,无,4,1,1
P1M2KllIb,一人专场观影《角斗士2》  原图 ,,https://wx3.sinaimg.cn/large/006UnhTFly1hvx9rq984ij335s2dchdt.jpg,无,无,2024-11-24 13:39,无,9,1,5
P1LXI0ie8,#前体操冠军擦边争议##吴柳芳成擦边主播被怒斥##吴柳芳直播间鞠躬致歉#【前中国体操女队队员吴柳芳成“擦边主播”？奥运冠军管晨辰怒斥】近日，前中国体操女队队员吴柳芳在社交媒体平台上发布了一系列跳舞视频，视频中她穿着性感、动作撩人，引发了争议。  ,,无,无,无,2024-11-24 13:26,无,4,0,0
P1LWFspQw,#旺旺高管再发文#【#旺旺高管称做食品就是良心事业#】11月24日，旺旺集团首席营运官“@Matt旺家 ”再发文，称做食品就是良心事业，杜绝劣币驱逐良币。其写道：“旺旺以金字招牌为荣，品质第一的保证，有心用心道德心，做食品就是良心事业。  ,,无,无,无,2024-11-24 13:24,无,3,0,0
P1KnpDFsK,#曝旺仔喝出异物#【最新后续：#旺仔牛奶当事人称异物不像老鼠#】#旺仔当事人发声#11月20日，有网友发视频称，孩子打开一罐旺仔牛奶喝的时候觉得味道很怪，打开罐子后发现异物。有网友认为异物可能是老鼠。11月23日上午，@大象新闻 记者联系到了视频发布者彭先生。彭先生表示，当时感觉罐子内似乎有异物，于是用刀劈开了罐子，“但是这团异物看起来并不像网上所传的老鼠。” ,,无,无,无,2024-11-24 09:24,无,2,0,1
P1KnhEXTK,#曝旺仔喝出异物#【#旺旺三公子称明显有人在搞事#】近日，有网友反映孩子近期在旺仔牛奶中喝出异物，疑似为老鼠，引发社会热议。随即旺旺集团发布声明称对生产线进行全面审查，没有异常。公司已对留样产品封存备查，尽快查清事实原委。  ,,无,无,无,2024-11-24 09:24,无,1,1,1
P1KmJwaw6,#卫生巾造假风波##医疗注册没有医用卫生巾的说法#【“医用卫生巾”上热搜 业内人士：这是蹭流量的做法，已有电商平台通知商家修改表述】#医生称用这3种卫生巾易引病上身# 卫生巾是关系到数亿女性的基本卫生用品，其质量和标准问题自然会引发广泛关注。近日，多款卫生巾因实际长度短于外包装标明长度，被消费者质疑“偷工减料”。与此同时，“医用级卫生巾”搜索量飙升。 ,,无,无,无,2024-11-24 09:22,无,0,0,0
P1KmFbUXe,#卫生巾造假风波#【#医生谈医用卫生巾爆火#】近日，卫生巾相关话题持续引发网友热议。有网友称，相比之下，医护级、消毒级的卫生巾标准更高。医生表示，医用耗材标准确实高于普通卫生巾，但是否使用需要考虑价格等因素。#普通卫生巾如何选用才安全#？  ,,无,无,无,2024-11-24 09:22,无,0,0,0
P1Kmztnlo,#卫生巾造假风波#【警惕“毒”卫生巾对女性伤害！#医生称用这3种卫生巾易引病上身#】最近，一场关于卫生巾的纷争引起轩然大波，多个词条占据热搜。卫生巾长度“缺斤少两”、卫生巾pH值问题持续引发关注。西安市中医医院妇科主治医师魏少奔表示：这3种卫生巾用了容易引病上身，一、中草药卫生巾，尤其是宣传能消炎、缓解痛经的；二、有清凉作用的卫生巾，内含成分薄荷脑有可能加重痛经；三、成分中带有绒毛浆的。（来源：魏少奔  编辑：王晴 姜艺） ,,无,无,无,2024-11-24 09:22,无,1,0,0
P1JxGvfe6,#曝旺仔喝出异物#【#旺仔当事人称异物被厂家取走大部分#，自留了一部分】#旺仔当事人自留了一部分异物# 11月20日，山东一男子发视频称孩子喝的罐装旺仔牛奶有异味，打开罐子后发现有异物存在。  ,,无,无,无,2024-11-24 07:17,无,1,0,0
P1JxzpMpC,#曝旺仔喝出异物#【#网友喊话旺仔千万别塌#：“不要塌！我是真的经常买的！”】#旺旺集团声明#11月20日，有网友反映孩子近期在旺仔牛奶中喝出异物，疑似为老鼠。23日凌晨，旺旺集团发布了《旺旺集团针对近日旺仔牛奶相关舆论说明》，其称已关注到有关旺仔牛奶的相关舆论，公司高度重视，第一时间赴现场，积极与消费者进行沟通了解情况。 ,,无,无,无,2024-11-24 07:16,无,1,0,0
